Vardas              Pavarde             Galutinis(vid.)/    Galutinis(med.)
Vardas10375         Pavarde10375        4.2                 1
Vardas10376         Pavarde10376        2.4                 10
Vardas10377         Pavarde10377        6                   8
Vardas10378         Pavarde10378        4.2                 1
Vardas10379         Pavarde10379        2.4                 7
Vardas10380         Pavarde10380        0.6                 10
Vardas10381         Pavarde10381        4.2                 3
Vardas10382         Pavarde10382        2.4                 4
Vardas10383         Pavarde10383        1.8                 5
Vardas10384         Pavarde10384        4.8                 10
Vardas10385         Pavarde10385        3.6                 4
Vardas10386         Pavarde10386        2.4                 1
Vardas10387         Pavarde10387        3.6                 5
Vardas10388         Pavarde10388        4.2                 10
Vardas10389         Pavarde10389        4.8                 7
Vardas10390         Pavarde10390        1.2                 1
Vardas10391         Pavarde10391        4.8                 2
Vardas10392         Pavarde10392        1.2                 5
Vardas10393         Pavarde10393        3.6                 1
Vardas10394         Pavarde10394        0.6                 4
Vardas10395         Pavarde10395        3                   3
Vardas10396         Pavarde10396        6                   5
Vardas10397         Pavarde10397        1.2                 3
Vardas10398         Pavarde10398        2.4                 10
Vardas10399         Pavarde10399        2.4                 9
Vardas10400         Pavarde10400        3                   5
Vardas10401         Pavarde10401        1.8                 4
Vardas10402         Pavarde10402        3.6                 6
Vardas10403         Pavarde10403        4.2                 10
Vardas10404         Pavarde10404        1.2                 9
Vardas10405         Pavarde10405        3.6                 7
Vardas10406         Pavarde10406        3                   6
Vardas10407         Pavarde10407        4.2                 5
Vardas10408         Pavarde10408        4.8                 4
Vardas10409         Pavarde10409        0.6                 7
Vardas10410         Pavarde10410        2.4                 4
Vardas10411         Pavarde10411        1.8                 6
Vardas10412         Pavarde10412        0.6                 3
Vardas10413         Pavarde10413        6                   4
Vardas10414         Pavarde10414        1.8                 4
Vardas10415         Pavarde10415        4.2                 8
Vardas10416         Pavarde10416        4.2                 7
Vardas10417         Pavarde10417        1.8                 8
Vardas10418         Pavarde10418        3                   2
Vardas10419         Pavarde10419        4.2                 10
Vardas10420         Pavarde10420        6                   2
Vardas10421         Pavarde10421        5.4                 1
Vardas10422         Pavarde10422        4.8                 9
Vardas10423         Pavarde10423        1.2                 9
Vardas10424         Pavarde10424        3.6                 2
Vardas10425         Pavarde10425        3.6                 1
Vardas10426         Pavarde10426        0.6                 10
Vardas10427         Pavarde10427        6                   2
Vardas10428         Pavarde10428        4.8                 9
Vardas10429         Pavarde10429        0.6                 5
Vardas10430         Pavarde10430        2.4                 1
Vardas10431         Pavarde10431        3                   1
Vardas10432         Pavarde10432        1.2                 9
Vardas10433         Pavarde10433        1.8                 4
Vardas10434         Pavarde10434        4.2                 6
Vardas10435         Pavarde10435        0.6                 10
Vardas10436         Pavarde10436        4.2                 9
Vardas10437         Pavarde10437        1.8                 10
Vardas10438         Pavarde10438        1.8                 3
Vardas10439         Pavarde10439        5.4                 3
Vardas10440         Pavarde10440        1.2                 8
Vardas10441         Pavarde10441        0.6                 1
Vardas10442         Pavarde10442        1.2                 6
Vardas10443         Pavarde10443        1.8                 3
Vardas10444         Pavarde10444        6                   4
Vardas10445         Pavarde10445        4.8                 3
Vardas10446         Pavarde10446        1.2                 6
Vardas10447         Pavarde10447        1.2                 5
Vardas10448         Pavarde10448        3                   7
Vardas10449         Pavarde10449        4.8                 5
Vardas10450         Pavarde10450        0.6                 1
Vardas10451         Pavarde10451        1.2                 3
Vardas10452         Pavarde10452        4.2                 6
Vardas10453         Pavarde10453        3.6                 10
Vardas10454         Pavarde10454        3.6                 8
Vardas10455         Pavarde10455        4.2                 10
Vardas10456         Pavarde10456        4.2                 5
Vardas10457         Pavarde10457        4.2                 10
Vardas10458         Pavarde10458        1.2                 10
Vardas10459         Pavarde10459        4.2                 3
Vardas10460         Pavarde10460        4.2                 9
Vardas10461         Pavarde10461        0.6                 1
Vardas10462         Pavarde10462        4.8                 9
Vardas10463         Pavarde10463        2.4                 2
Vardas10464         Pavarde10464        3                   1
Vardas10465         Pavarde10465        4.2                 6
Vardas10466         Pavarde10466        0.6                 10
Vardas10467         Pavarde10467        0.6                 3
Vardas10468         Pavarde10468        3.6                 10
Vardas10469         Pavarde10469        2.4                 6
Vardas10470         Pavarde10470        2.4                 5
Vardas10471         Pavarde10471        4.2                 10
Vardas10472         Pavarde10472        4.8                 1
Vardas10473         Pavarde10473        1.2                 1
Vardas10474         Pavarde10474        0.6                 10
Vardas10475         Pavarde10475        6                   3
Vardas10476         Pavarde10476        2.4                 4
Vardas10477         Pavarde10477        3.6                 6
Vardas10478         Pavarde10478        5.4                 8
Vardas10479         Pavarde10479        2.4                 5
Vardas10480         Pavarde10480        6                   7
Vardas10481         Pavarde10481        2.4                 9
Vardas10482         Pavarde10482        4.2                 10
Vardas10483         Pavarde10483        1.8                 2
Vardas10484         Pavarde10484        1.2                 3
Vardas10485         Pavarde10485        5.4                 7
Vardas10486         Pavarde10486        2.4                 3
Vardas10487         Pavarde10487        4.8                 8
Vardas10488         Pavarde10488        4.8                 6
Vardas10489         Pavarde10489        4.2                 9
Vardas10490         Pavarde10490        3                   8
Vardas10491         Pavarde10491        6                   3
Vardas10492         Pavarde10492        6                   10
Vardas10493         Pavarde10493        4.2                 1
Vardas10494         Pavarde10494        5.4                 4
Vardas10495         Pavarde10495        5.4                 8
Vardas10496         Pavarde10496        4.2                 5
Vardas10497         Pavarde10497        3                   8
Vardas10498         Pavarde10498        3                   10
Vardas10499         Pavarde10499        0.6                 1
Vardas10500         Pavarde10500        2.4                 7
Vardas10501         Pavarde10501        6                   3
Vardas10502         Pavarde10502        6                   2
Vardas10503         Pavarde10503        6                   8
Vardas10504         Pavarde10504        5.4                 9
Vardas10505         Pavarde10505        3                   10
Vardas10506         Pavarde10506        2.4                 1
Vardas10507         Pavarde10507        4.8                 2
Vardas10508         Pavarde10508        1.2                 7
Vardas10509         Pavarde10509        3                   7
Vardas10510         Pavarde10510        6                   9
Vardas10511         Pavarde10511        0.6                 6
Vardas10512         Pavarde10512        4.2                 6
Vardas10513         Pavarde10513        3                   1
Vardas10514         Pavarde10514        3                   6
Vardas10515         Pavarde10515        3                   10
Vardas10516         Pavarde10516        3                   9
Vardas10517         Pavarde10517        0.6                 3
Vardas10518         Pavarde10518        1.2                 3
Vardas10519         Pavarde10519        3                   2
Vardas10520         Pavarde10520        1.8                 7
Vardas10521         Pavarde10521        3.6                 4
Vardas10522         Pavarde10522        3.6                 8
Vardas10523         Pavarde10523        3                   3
Vardas10524         Pavarde10524        1.8                 9
Vardas10525         Pavarde10525        4.2                 8
Vardas10526         Pavarde10526        1.8                 6
Vardas10527         Pavarde10527        1.8                 5
Vardas10528         Pavarde10528        6                   7
Vardas10529         Pavarde10529        0.6                 9
Vardas10530         Pavarde10530        6                   9
Vardas10531         Pavarde10531        0.6                 3
Vardas10532         Pavarde10532        5.4                 3
Vardas10533         Pavarde10533        2.4                 2
Vardas10534         Pavarde10534        3                   9
Vardas10535         Pavarde10535        3.6                 3
Vardas10536         Pavarde10536        3                   8
Vardas10537         Pavarde10537        2.4                 8
Vardas10538         Pavarde10538        0.6                 1
Vardas10539         Pavarde10539        3                   7
Vardas10540         Pavarde10540        3.6                 3
Vardas10541         Pavarde10541        3.6                 6
Vardas10542         Pavarde10542        0.6                 1
Vardas10543         Pavarde10543        4.2                 10
Vardas10544         Pavarde10544        1.8                 3
Vardas10545         Pavarde10545        2.4                 7
Vardas10546         Pavarde10546        3                   1
Vardas10547         Pavarde10547        2.4                 8
Vardas10548         Pavarde10548        1.8                 1
Vardas10549         Pavarde10549        5.4                 6
Vardas10550         Pavarde10550        4.8                 5
Vardas10551         Pavarde10551        0.6                 4
Vardas10552         Pavarde10552        6                   8
Vardas10553         Pavarde10553        3.6                 7
Vardas10554         Pavarde10554        4.8                 9
Vardas10555         Pavarde10555        0.6                 1
Vardas10556         Pavarde10556        0.6                 1
Vardas10557         Pavarde10557        1.8                 1
Vardas10558         Pavarde10558        0.6                 2
Vardas10559         Pavarde10559        5.4                 5
Vardas10560         Pavarde10560        0.6                 5
Vardas10561         Pavarde10561        2.4                 7
Vardas10562         Pavarde10562        4.8                 2
Vardas10563         Pavarde10563        4.2                 6
Vardas10564         Pavarde10564        4.8                 8
Vardas10565         Pavarde10565        1.2                 1
Vardas10566         Pavarde10566        5.4                 2
Vardas10567         Pavarde10567        6                   2
Vardas10568         Pavarde10568        4.2                 5
Vardas10569         Pavarde10569        5.4                 3
Vardas10570         Pavarde10570        3                   9
Vardas10571         Pavarde10571        6                   2
Vardas10572         Pavarde10572        0.6                 1
Vardas10573         Pavarde10573        1.8                 7
Vardas10574         Pavarde10574        1.2                 9
Vardas10575         Pavarde10575        4.8                 4
Vardas10576         Pavarde10576        3.6                 4
Vardas10577         Pavarde10577        1.8                 8
Vardas10578         Pavarde10578        5.4                 10
Vardas10579         Pavarde10579        3                   6
Vardas10580         Pavarde10580        4.2                 9
Vardas10581         Pavarde10581        3                   7
Vardas10582         Pavarde10582        1.2                 2
Vardas10583         Pavarde10583        3                   1
Vardas10584         Pavarde10584        3.6                 8
Vardas10585         Pavarde10585        4.8                 8
Vardas10586         Pavarde10586        3.6                 8
Vardas10587         Pavarde10587        0.6                 10
Vardas10588         Pavarde10588        1.8                 9
Vardas10589         Pavarde10589        6                   6
Vardas10590         Pavarde10590        1.8                 2
Vardas10591         Pavarde10591        3.6                 3
Vardas10592         Pavarde10592        6                   10
Vardas10593         Pavarde10593        3.6                 3
Vardas10594         Pavarde10594        4.2                 3
Vardas10595         Pavarde10595        5.4                 8
Vardas10596         Pavarde10596        4.8                 5
Vardas10597         Pavarde10597        6                   4
Vardas10598         Pavarde10598        5.4                 1
Vardas10599         Pavarde10599        6                   6
Vardas10600         Pavarde10600        6                   1
Vardas10601         Pavarde10601        0.6                 4
Vardas10602         Pavarde10602        3                   9
Vardas10603         Pavarde10603        3.6                 9
Vardas10604         Pavarde10604        1.8                 4
Vardas10605         Pavarde10605        0.6                 5
Vardas10606         Pavarde10606        3                   7
Vardas10607         Pavarde10607        6                   8
Vardas10608         Pavarde10608        4.8                 3
Vardas10609         Pavarde10609        4.8                 8
Vardas10610         Pavarde10610        1.2                 10
Vardas10611         Pavarde10611        2.4                 8
Vardas10612         Pavarde10612        4.8                 8
Vardas10613         Pavarde10613        0.6                 2
Vardas10614         Pavarde10614        0.6                 5
Vardas10615         Pavarde10615        3.6                 9
Vardas10616         Pavarde10616        0.6                 10
Vardas10617         Pavarde10617        1.8                 6
Vardas10618         Pavarde10618        0.6                 9
Vardas10619         Pavarde10619        4.8                 10
Vardas10620         Pavarde10620        1.8                 5
Vardas10621         Pavarde10621        5.4                 7
Vardas10622         Pavarde10622        6                   4
Vardas10623         Pavarde10623        5.4                 10
Vardas10624         Pavarde10624        3                   2
Vardas10625         Pavarde10625        0.6                 2
Vardas10626         Pavarde10626        1.8                 4
Vardas10627         Pavarde10627        2.4                 9
Vardas10628         Pavarde10628        0.6                 7
Vardas10629         Pavarde10629        2.4                 2
Vardas10630         Pavarde10630        5.4                 8
Vardas10631         Pavarde10631        1.2                 10
Vardas10632         Pavarde10632        1.2                 4
Vardas10633         Pavarde10633        4.2                 3
Vardas10634         Pavarde10634        1.8                 10
Vardas10635         Pavarde10635        3.6                 3
Vardas10636         Pavarde10636        1.2                 4
Vardas10637         Pavarde10637        3                   10
Vardas10638         Pavarde10638        6                   5
Vardas10639         Pavarde10639        3                   7
Vardas10640         Pavarde10640        5.4                 9
Vardas10641         Pavarde10641        2.4                 2
Vardas10642         Pavarde10642        3                   9
Vardas10643         Pavarde10643        3                   3
Vardas10644         Pavarde10644        1.8                 10
Vardas10645         Pavarde10645        5.4                 6
Vardas10646         Pavarde10646        5.4                 3
Vardas10647         Pavarde10647        1.2                 9
Vardas10648         Pavarde10648        6                   8
Vardas10649         Pavarde10649        4.2                 8
Vardas10650         Pavarde10650        6                   4
Vardas10651         Pavarde10651        4.8                 4
Vardas10652         Pavarde10652        3.6                 6
Vardas10653         Pavarde10653        4.2                 9
Vardas10654         Pavarde10654        3.6                 8
Vardas10655         Pavarde10655        2.4                 1
Vardas10656         Pavarde10656        1.2                 4
Vardas10657         Pavarde10657        3.6                 10
Vardas10658         Pavarde10658        1.8                 4
Vardas10659         Pavarde10659        1.8                 9
Vardas10660         Pavarde10660        6                   10
Vardas10661         Pavarde10661        4.2                 2
Vardas10662         Pavarde10662        3                   9
Vardas10663         Pavarde10663        4.8                 1
Vardas10664         Pavarde10664        3.6                 7
Vardas10665         Pavarde10665        5.4                 8
Vardas10666         Pavarde10666        0.6                 9
Vardas10667         Pavarde10667        3.6                 10
Vardas10668         Pavarde10668        3                   4
Vardas10669         Pavarde10669        3                   10
Vardas10670         Pavarde10670        3.6                 8
Vardas10671         Pavarde10671        1.8                 2
Vardas10672         Pavarde10672        3                   4
Vardas10673         Pavarde10673        5.4                 3
Vardas10674         Pavarde10674        0.6                 7
Vardas10675         Pavarde10675        1.2                 9
Vardas10676         Pavarde10676        6                   8
Vardas10677         Pavarde10677        4.2                 3
Vardas10678         Pavarde10678        4.8                 10
Vardas10679         Pavarde10679        4.8                 1
Vardas10680         Pavarde10680        3                   9
Vardas10681         Pavarde10681        1.8                 9
Vardas10682         Pavarde10682        4.2                 4
Vardas10683         Pavarde10683        6                   10
Vardas10684         Pavarde10684        4.8                 1
Vardas10685         Pavarde10685        6                   5
Vardas10686         Pavarde10686        0.6                 3
Vardas10687         Pavarde10687        6                   1
Vardas10688         Pavarde10688        5.4                 7
Vardas10689         Pavarde10689        2.4                 1
Vardas10690         Pavarde10690        6                   7
Vardas10691         Pavarde10691        3                   8
Vardas10692         Pavarde10692        0.6                 10
Vardas10693         Pavarde10693        3                   9
Vardas10694         Pavarde10694        1.8                 5
Vardas10695         Pavarde10695        6                   3
Vardas10696         Pavarde10696        6                   8
Vardas10697         Pavarde10697        6                   10
Vardas10698         Pavarde10698        3                   3
Vardas10699         Pavarde10699        5.4                 5
Vardas10700         Pavarde10700        5.4                 4
Vardas10701         Pavarde10701        2.4                 6
Vardas10702         Pavarde10702        4.2                 8
Vardas10703         Pavarde10703        4.8                 8
Vardas10704         Pavarde10704        3.6                 6
Vardas10705         Pavarde10705        4.2                 10
Vardas10706         Pavarde10706        4.8                 9
Vardas10707         Pavarde10707        4.2                 8
Vardas10708         Pavarde10708        1.2                 8
Vardas10709         Pavarde10709        3                   9
Vardas10710         Pavarde10710        1.8                 9
Vardas10711         Pavarde10711        3.6                 10
Vardas10712         Pavarde10712        0.6                 2
Vardas10713         Pavarde10713        0.6                 1
Vardas10714         Pavarde10714        0.6                 3
Vardas10715         Pavarde10715        4.2                 4
Vardas10716         Pavarde10716        0.6                 6
Vardas10717         Pavarde10717        5.4                 9
Vardas10718         Pavarde10718        3                   6
Vardas10719         Pavarde10719        6                   2
Vardas10720         Pavarde10720        0.6                 4
Vardas10721         Pavarde10721        0.6                 7
Vardas10722         Pavarde10722        3                   2
Vardas10723         Pavarde10723        4.8                 1
Vardas10724         Pavarde10724        1.8                 1
Vardas10725         Pavarde10725        6                   10
Vardas10726         Pavarde10726        3                   2
Vardas10727         Pavarde10727        4.2                 2
Vardas10728         Pavarde10728        1.8                 4
Vardas10729         Pavarde10729        0.6                 6
Vardas10730         Pavarde10730        1.2                 10
Vardas10731         Pavarde10731        4.8                 10
Vardas10732         Pavarde10732        0.6                 2
Vardas10733         Pavarde10733        1.8                 3
Vardas10734         Pavarde10734        1.8                 6
Vardas10735         Pavarde10735        6                   10
Vardas10736         Pavarde10736        2.4                 7
Vardas10737         Pavarde10737        3                   5
Vardas10738         Pavarde10738        3.6                 7
Vardas10739         Pavarde10739        6                   9
Vardas10740         Pavarde10740        0.6                 5
Vardas10741         Pavarde10741        0.6                 5
Vardas10742         Pavarde10742        1.8                 4
Vardas10743         Pavarde10743        5.4                 7
Vardas10744         Pavarde10744        3                   10
Vardas10745         Pavarde10745        0.6                 3
Vardas10746         Pavarde10746        3.6                 1
Vardas10747         Pavarde10747        6                   7
Vardas10748         Pavarde10748        0.6                 3
Vardas10749         Pavarde10749        4.2                 4
Vardas10750         Pavarde10750        4.2                 10
Vardas10751         Pavarde10751        1.2                 8
Vardas10752         Pavarde10752        6                   2
Vardas10753         Pavarde10753        5.4                 4
Vardas10754         Pavarde10754        5.4                 5
Vardas10755         Pavarde10755        5.4                 3
Vardas10756         Pavarde10756        4.8                 6
Vardas10757         Pavarde10757        1.2                 8
Vardas10758         Pavarde10758        4.2                 10
Vardas10759         Pavarde10759        5.4                 7
Vardas10760         Pavarde10760        3.6                 10
Vardas10761         Pavarde10761        1.8                 9
Vardas10762         Pavarde10762        3.6                 10
Vardas10763         Pavarde10763        4.8                 1
Vardas10764         Pavarde10764        2.4                 10
Vardas10765         Pavarde10765        4.8                 2
Vardas10766         Pavarde10766        0.6                 10
Vardas10767         Pavarde10767        3.6                 4
Vardas10768         Pavarde10768        5.4                 9
Vardas10769         Pavarde10769        6                   3
Vardas10770         Pavarde10770        1.8                 7
Vardas10771         Pavarde10771        3.6                 6
Vardas10772         Pavarde10772        1.2                 6
Vardas10773         Pavarde10773        5.4                 4
Vardas10774         Pavarde10774        1.2                 5
Vardas10775         Pavarde10775        1.8                 8
Vardas10776         Pavarde10776        4.2                 6
Vardas10777         Pavarde10777        1.8                 5
Vardas10778         Pavarde10778        1.8                 4
Vardas10779         Pavarde10779        4.2                 2
Vardas10780         Pavarde10780        0.6                 5
Vardas10781         Pavarde10781        3                   1
Vardas10782         Pavarde10782        3.6                 1
Vardas10783         Pavarde10783        1.2                 9
Vardas10784         Pavarde10784        3.6                 4
Vardas10785         Pavarde10785        4.2                 3
Vardas10786         Pavarde10786        4.2                 4
Vardas10787         Pavarde10787        3.6                 2
Vardas10788         Pavarde10788        4.8                 3
Vardas10789         Pavarde10789        3.6                 7
Vardas10790         Pavarde10790        3.6                 4
Vardas10791         Pavarde10791        3                   7
Vardas10792         Pavarde10792        2.4                 6
Vardas10793         Pavarde10793        6                   9
Vardas10794         Pavarde10794        4.2                 5
Vardas10795         Pavarde10795        1.2                 10
Vardas10796         Pavarde10796        1.2                 4
Vardas10797         Pavarde10797        6                   2
Vardas10798         Pavarde10798        3.6                 1
Vardas10799         Pavarde10799        1.8                 6
Vardas10800         Pavarde10800        0.6                 3
Vardas10801         Pavarde10801        1.8                 8
Vardas10802         Pavarde10802        3.6                 4
Vardas10803         Pavarde10803        4.2                 4
Vardas10804         Pavarde10804        4.2                 6
Vardas10805         Pavarde10805        2.4                 8
Vardas10806         Pavarde10806        1.2                 4
Vardas10807         Pavarde10807        3.6                 9
Vardas10808         Pavarde10808        3.6                 9
Vardas10809         Pavarde10809        1.2                 7
Vardas10810         Pavarde10810        4.2                 10
Vardas10811         Pavarde10811        4.2                 8
Vardas10812         Pavarde10812        5.4                 2
Vardas10813         Pavarde10813        2.4                 10
Vardas10814         Pavarde10814        4.2                 5
Vardas10815         Pavarde10815        2.4                 3
Vardas10816         Pavarde10816        1.2                 6
Vardas10817         Pavarde10817        6                   10
Vardas10818         Pavarde10818        6                   10
Vardas10819         Pavarde10819        3                   1
Vardas10820         Pavarde10820        0.6                 1
Vardas10821         Pavarde10821        2.4                 2
Vardas10822         Pavarde10822        6                   6
Vardas10823         Pavarde10823        4.2                 2
Vardas10824         Pavarde10824        4.2                 10
Vardas10825         Pavarde10825        1.8                 6
Vardas10826         Pavarde10826        2.4                 6
Vardas10827         Pavarde10827        3                   8
Vardas10828         Pavarde10828        4.2                 5
Vardas10829         Pavarde10829        5.4                 6
Vardas10830         Pavarde10830        4.2                 6
Vardas10831         Pavarde10831        1.8                 7
Vardas10832         Pavarde10832        3.6                 7
Vardas10833         Pavarde10833        1.2                 5
Vardas10834         Pavarde10834        5.4                 8
Vardas10835         Pavarde10835        1.2                 6
Vardas10836         Pavarde10836        1.8                 8
Vardas10837         Pavarde10837        4.8                 8
Vardas10838         Pavarde10838        1.8                 7
Vardas10839         Pavarde10839        2.4                 8
Vardas10840         Pavarde10840        1.8                 8
Vardas10841         Pavarde10841        5.4                 4
Vardas10842         Pavarde10842        0.6                 4
Vardas10843         Pavarde10843        0.6                 7
Vardas10844         Pavarde10844        4.8                 3
Vardas10845         Pavarde10845        4.8                 10
Vardas10846         Pavarde10846        2.4                 4
Vardas10847         Pavarde10847        3.6                 10
Vardas10848         Pavarde10848        1.2                 8
Vardas10849         Pavarde10849        5.4                 3
Vardas10850         Pavarde10850        5.4                 3
Vardas10851         Pavarde10851        1.8                 9
Vardas10852         Pavarde10852        4.8                 10
Vardas10853         Pavarde10853        3                   9
Vardas10854         Pavarde10854        3                   3
Vardas10855         Pavarde10855        4.2                 7
Vardas10856         Pavarde10856        4.8                 5
Vardas10857         Pavarde10857        6                   7
Vardas10858         Pavarde10858        1.8                 2
Vardas10859         Pavarde10859        3                   10
Vardas10860         Pavarde10860        3                   6
Vardas10861         Pavarde10861        1.2                 8
Vardas10862         Pavarde10862        1.8                 4
Vardas10863         Pavarde10863        0.6                 10
Vardas10864         Pavarde10864        2.4                 2
Vardas10865         Pavarde10865        4.2                 6
Vardas10866         Pavarde10866        5.4                 2
Vardas10867         Pavarde10867        2.4                 3
Vardas10868         Pavarde10868        2.4                 7
Vardas10869         Pavarde10869        4.2                 3
Vardas10870         Pavarde10870        0.6                 10
Vardas10871         Pavarde10871        1.8                 7
Vardas10872         Pavarde10872        4.8                 9
Vardas10873         Pavarde10873        0.6                 4
Vardas10874         Pavarde10874        4.8                 5
Vardas10875         Pavarde10875        2.4                 9
Vardas10876         Pavarde10876        1.2                 2
Vardas10877         Pavarde10877        3                   5
Vardas10878         Pavarde10878        4.2                 8
Vardas10879         Pavarde10879        3.6                 7
Vardas10880         Pavarde10880        5.4                 2
Vardas10881         Pavarde10881        5.4                 2
Vardas10882         Pavarde10882        3.6                 1
Vardas10883         Pavarde10883        4.8                 9
Vardas10884         Pavarde10884        0.6                 7
Vardas10885         Pavarde10885        4.2                 3
Vardas10886         Pavarde10886        6                   6
Vardas10887         Pavarde10887        5.4                 5
Vardas10888         Pavarde10888        4.8                 2
Vardas10889         Pavarde10889        4.8                 2
Vardas10890         Pavarde10890        1.2                 3
Vardas10891         Pavarde10891        3.6                 5
Vardas10892         Pavarde10892        1.2                 10
Vardas10893         Pavarde10893        4.2                 9
Vardas10894         Pavarde10894        6                   3
Vardas10895         Pavarde10895        1.8                 6
Vardas10896         Pavarde10896        0.6                 4
Vardas10897         Pavarde10897        3.6                 2
Vardas10898         Pavarde10898        0.6                 10
Vardas10899         Pavarde10899        4.8                 8
Vardas10900         Pavarde10900        1.2                 2
Vardas10901         Pavarde10901        1.8                 6
Vardas10902         Pavarde10902        4.2                 4
Vardas10903         Pavarde10903        3.6                 1
Vardas10904         Pavarde10904        5.4                 8
Vardas10905         Pavarde10905        5.4                 9
Vardas10906         Pavarde10906        4.2                 4
Vardas10907         Pavarde10907        3.6                 1
Vardas10908         Pavarde10908        3.6                 5
Vardas10909         Pavarde10909        2.4                 7
Vardas10910         Pavarde10910        6                   3
Vardas10911         Pavarde10911        1.8                 8
Vardas10912         Pavarde10912        1.8                 1
Vardas10913         Pavarde10913        1.8                 6
Vardas10914         Pavarde10914        0.6                 7
Vardas10915         Pavarde10915        5.4                 8
Vardas10916         Pavarde10916        1.8                 9
Vardas10917         Pavarde10917        3.6                 10
Vardas10918         Pavarde10918        4.2                 10
Vardas10919         Pavarde10919        0.6                 6
Vardas10920         Pavarde10920        6                   7
Vardas10921         Pavarde10921        3                   1
Vardas10922         Pavarde10922        4.8                 10
Vardas10923         Pavarde10923        0.6                 3
Vardas10924         Pavarde10924        3.6                 8
Vardas10925         Pavarde10925        3                   10
Vardas10926         Pavarde10926        3.6                 7
Vardas10927         Pavarde10927        1.8                 1
Vardas10928         Pavarde10928        1.8                 3
Vardas10929         Pavarde10929        4.8                 4
Vardas10930         Pavarde10930        4.8                 7
Vardas10931         Pavarde10931        5.4                 8
Vardas10932         Pavarde10932        1.8                 2
Vardas10933         Pavarde10933        1.2                 7
Vardas10934         Pavarde10934        3.6                 10
Vardas10935         Pavarde10935        4.8                 1
Vardas10936         Pavarde10936        5.4                 9
Vardas10937         Pavarde10937        4.8                 3
Vardas10938         Pavarde10938        1.8                 3
Vardas10939         Pavarde10939        6                   2
Vardas10940         Pavarde10940        6                   10
Vardas10941         Pavarde10941        5.4                 8
Vardas10942         Pavarde10942        1.8                 4
Vardas10943         Pavarde10943        4.8                 7
Vardas10944         Pavarde10944        4.8                 9
Vardas10945         Pavarde10945        5.4                 10
Vardas10946         Pavarde10946        3.6                 4
Vardas10947         Pavarde10947        1.2                 8
Vardas10948         Pavarde10948        4.8                 3
Vardas10949         Pavarde10949        1.2                 5
Vardas10950         Pavarde10950        3                   10
Vardas10951         Pavarde10951        4.8                 10
Vardas10952         Pavarde10952        3                   6
Vardas10953         Pavarde10953        1.2                 10
Vardas10954         Pavarde10954        1.2                 3
Vardas10955         Pavarde10955        1.2                 10
Vardas10956         Pavarde10956        0.6                 9
Vardas10957         Pavarde10957        4.8                 10
Vardas10958         Pavarde10958        2.4                 10
Vardas10959         Pavarde10959        1.8                 6
Vardas10960         Pavarde10960        1.2                 10
Vardas10961         Pavarde10961        1.2                 10
Vardas10962         Pavarde10962        4.8                 5
Vardas10963         Pavarde10963        3                   10
Vardas10964         Pavarde10964        3.6                 10
Vardas10965         Pavarde10965        4.8                 1
Vardas10966         Pavarde10966        4.8                 1
Vardas10967         Pavarde10967        0.6                 3
Vardas10968         Pavarde10968        5.4                 8
Vardas10969         Pavarde10969        0.6                 4
Vardas10970         Pavarde10970        5.4                 1
Vardas10971         Pavarde10971        3                   3
Vardas10972         Pavarde10972        0.6                 8
Vardas10973         Pavarde10973        2.4                 1
Vardas10974         Pavarde10974        0.6                 10
Vardas10975         Pavarde10975        2.4                 3
Vardas10976         Pavarde10976        0.6                 9
Vardas10977         Pavarde10977        3                   7
Vardas10978         Pavarde10978        2.4                 4
Vardas10979         Pavarde10979        3                   1
Vardas10980         Pavarde10980        3                   1
Vardas10981         Pavarde10981        5.4                 2
Vardas10982         Pavarde10982        2.4                 9
Vardas10983         Pavarde10983        6                   6
Vardas10984         Pavarde10984        4.8                 2
Vardas10985         Pavarde10985        3.6                 8
Vardas10986         Pavarde10986        5.4                 2
Vardas10987         Pavarde10987        3                   6
Vardas10988         Pavarde10988        0.6                 10
Vardas10989         Pavarde10989        3.6                 2
Vardas10990         Pavarde10990        0.6                 9
Vardas10991         Pavarde10991        5.4                 2
Vardas10992         Pavarde10992        2.4                 6
Vardas10993         Pavarde10993        6                   9
Vardas10994         Pavarde10994        4.8                 9
Vardas10995         Pavarde10995        5.4                 7
Vardas10996         Pavarde10996        3                   7
Vardas10997         Pavarde10997        4.8                 7
Vardas10998         Pavarde10998        1.2                 7
Vardas10999         Pavarde10999        5.4                 2
Vardas11000         Pavarde11000        4.2                 4
Vardas11001         Pavarde11001        4.8                 8
Vardas11002         Pavarde11002        1.2                 2
Vardas11003         Pavarde11003        6                   10
Vardas11004         Pavarde11004        4.8                 3
Vardas11005         Pavarde11005        3.6                 5
Vardas11006         Pavarde11006        0.6                 5
Vardas11007         Pavarde11007        4.8                 10
Vardas11008         Pavarde11008        1.2                 7
Vardas11009         Pavarde11009        3                   1
Vardas11010         Pavarde11010        4.2                 3
Vardas11011         Pavarde11011        6                   5
Vardas11012         Pavarde11012        1.8                 4
Vardas11013         Pavarde11013        2.4                 5
Vardas11014         Pavarde11014        0.6                 10
Vardas11015         Pavarde11015        3                   8
Vardas11016         Pavarde11016        1.2                 3
Vardas11017         Pavarde11017        4.8                 2
Vardas11018         Pavarde11018        2.4                 3
Vardas11019         Pavarde11019        1.2                 6
Vardas11020         Pavarde11020        4.2                 6
